,,CO,NO2,SO2
spring,0,1.0462747252747249,63.791208791208788,55.406593406593409
spring,1,1.0222111111111114,63.600000000000001,52.266666666666666
spring,2,1.082065934065934,64.538461538461533,53.989010989010985
spring,3,1.1166813186813183,65.64835164835165,53.010989010989015
spring,4,1.1752967032967037,67.021978021978029,52.956043956043956
spring,5,1.1629780219780224,67.054945054945051,51.901098901098898
spring,6,1.1733626373626376,66.780219780219781,51.571428571428569
spring,7,1.2498571428571432,67.802197802197796,54.53846153846154
spring,8,1.4779782608695655,70.521739130434781,61.554347826086953
spring,9,1.5025434782608702,66.086956521739125,64.369565217391298
spring,10,1.4363406593406594,63.164835164835168,66.92307692307692
spring,11,1.3605274725274721,52.791208791208788,57.340659340659343
spring,12,1.2549130434782609,43.706521739130437,51.423913043478258
spring,13,1.1246630434782607,35.913043478260867,45.630434782608695
spring,14,1.061230769230769,31.978021978021978,44.307692307692307
spring,15,0.90371428571428603,29.901098901098901,36.956043956043956
spring,16,0.79414130434782582,29.043478260869566,34.195652173913047
spring,17,0.75955434782608722,28.869565217391305,36.293478260869563
spring,18,0.73183695652173886,32.717391304347828,29.195652173913043
spring,19,0.76676086956521761,40.956521739130437,29.989130434782609
spring,20,0.83151648351648333,49.395604395604394,31.87912087912088
spring,21,1.0019450549450553,52.626373626373628,35.989010989010985
spring,22,1.0042197802197803,57.912087912087912,47.571428571428569
spring,23,1.0944395604395603,63.681318681318679,55.92307692307692
summer,0,0.95061290322580638,41.387096774193552,34.0
summer,1,0.90951612903225809,43.483870967741936,34.677419354838712
summer,2,1.0880645161290321,42.516129032258064,35.096774193548384
summer,3,0.97641935483870956,44.193548387096776,37.354838709677416
summer,4,0.92429032258064536,44.70967741935484,36.225806451612904
summer,5,0.84574193548387089,49.838709677419352,36.096774193548384
summer,6,0.88574193548387092,50.483870967741936,39.41935483870968
summer,7,1.0484838709677418,51.161290322580648,41.516129032258064
summer,8,1.1910645161290323,49.387096774193552,40.483870967741936
summer,9,1.3553103448275861,45.275862068965516,38.03448275862069
summer,10,1.17471875,43.59375,37.6875
summer,11,1.0286666666666666,37.43333333333333,37.600000000000001
summer,12,0.90643333333333309,29.233333333333334,33.06666666666667
summer,13,0.87216666666666676,24.533333333333335,30.966666666666665
summer,14,0.8006451612903227,21.870967741935484,32.741935483870968
summer,15,0.80127586206896551,21.931034482758619,24.379310344827587
summer,16,0.67645161290322575,21.35483870967742,23.64516129032258
summer,17,0.60296774193548386,22.64516129032258,22.0
summer,18,0.61003333333333343,27.699999999999999,22.166666666666668
summer,19,0.5905999999999999,30.300000000000001,20.166666666666668
summer,20,0.70263333333333322,35.899999999999999,21.133333333333333
summer,21,0.80920000000000003,34.600000000000001,20.966666666666665
summer,22,0.70950000000000035,36.06666666666667,21.566666666666666
summer,23,0.84099999999999997,38.866666666666667,27.633333333333333
autumn,0,,,
autumn,1,,,
autumn,2,,,
autumn,3,,,
autumn,4,,,
autumn,5,,,
autumn,6,,,
autumn,7,,,
autumn,8,,,
autumn,9,,,
autumn,10,,,
autumn,11,,,
autumn,12,,,
autumn,13,,,
autumn,14,,,
autumn,15,,,
autumn,16,,,
autumn,17,,,
autumn,18,,,
autumn,19,,,
autumn,20,,,
autumn,21,,,
autumn,22,,,
autumn,23,,,
winter,0,2.4963103448275872,83.965517241379317,119.44827586206897
winter,1,2.5320877192982447,80.561403508771932,119.54385964912281
winter,2,2.6772456140350886,78.438596491228068,115.73684210526316
winter,3,2.6415254237288135,75.677966101694921,105.98305084745763
winter,4,2.5579122807017542,71.05263157894737,101.2280701754386
winter,5,2.5781186440677959,70.423728813559322,107.08474576271186
winter,6,2.7658135593220345,70.423728813559322,112.50847457627118
winter,7,2.9293728813559321,70.101694915254242,106.83050847457628
winter,8,3.0423728813559321,71.576271186440678,111.91525423728814
winter,9,3.1719999999999993,73.610169491525426,127.2542372881356
winter,10,3.222101694915255,75.13559322033899,135.84745762711864
winter,11,3.0397288135593215,74.694915254237287,128.06779661016949
winter,12,2.8180847457627118,72.169491525423723,123.8135593220339
winter,13,2.5163050847457624,66.915254237288138,111.55932203389831
winter,14,2.4481864406779654,62.135593220338983,116.52542372881356
winter,15,2.2003559322033888,61.898305084745765,110.50847457627118
winter,16,2.1398135593220342,62.711864406779661,109.79661016949153
winter,17,2.0515084745762708,67.220338983050851,95.728813559322035
winter,18,2.1223728813559322,74.847457627118644,91.389830508474574
winter,19,2.2191016949152544,81.067796610169495,106.40677966101696
winter,20,2.2556271186440675,82.66101694915254,107.49152542372882
winter,21,2.3554915254237292,83.627118644067792,119.20338983050847
winter,22,2.3873050847457633,82.949152542372886,123.30508474576271
winter,23,2.4345593220338975,83.237288135593218,125.83050847457628
