startdatetime,enddatetime,startdate,enddate,starttime,endtime,OC,EC,TC,SOC,chlorine,nitrate,sulfate,Na,ammonia,potassoium,Mg,Ca,Li,Be,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi
2016/5/4 10:09,2016/5/5 8:37,2016/5/4,2016/5/5,10:09,8:37,6.452272787,1.723142775,8.175415562,2.760268322,0.470091242,2.115886653,2.528763696,0.069270457,1.582891258,0.032275164,0.027903702,0.19407945,0.768626446,0.010386844,,28.08862253,,,21.33717401,0.223317143,1.126972559,12.739464,37.70424323,0.316798738,1.088021895,0.919235682,1.599573955,4.362474424,0.096078306,0.599840233,0.212930299,12.9757647,0.189559901,52.85605172,0.32199216
2016/5/5 8:50,2016/5/6 8:40,2016/5/5,2016/5/6,8:50,8:40,7.063543536,0.814728634,7.87827217,5.317906553,0.16106581,2.812124182,2.668111439,0.118663176,0.528232879,0.035655752,0.044809723,0.433545556,2.114906682,0.088121112,0.340245404,90.70844549,,,51.15430536,1.057453341,2.288701097,10.6283852,610.5079577,0.790642197,1.659614271,0.959540994,3.850403021,8.229532713,0.068538642,0.408784046,0.479770497,18.94114341,0.149316328,50.01362653,0.232541823
2016/5/6 8:50,2016/5/7 9:06,2016/5/6,2016/5/7,8:50,9:06,2.662233784,0.377443353,3.039677137,1.853523928,0.038145018,0.13382811,0.557991097,0.126394405,0.101484437,0.002721429,0.010028774,0.038915471,0.281279441,,,10.13327219,,,6.007840378,0.031253271,0.3269573,15.63865613,22.88701097,0.100972107,0.076931129,0.37023106,0.403888429,1.17560382,0.033657369,0.038465565,0.04327376,2.930595207,,5.346713486,
2016/5/7 9:21,2016/5/8 8:58,2016/5/7,2016/5/8,9:21,8:58,5.121964015,1.758170384,6.880134398,1.35490942,0.90008245,2.338682804,1.35411727,0.120267129,0.656666724,0.036544072,0.024669812,0.197375468,0.466880202,,,11.31381654,,,12.79350564,0.096340359,0.395242499,10.58755845,84.03843638,0.269258953,2.45297376,0.501463921,0.938700935,2.359103667,0.044464781,1.331473169,0.111161953,7.492315624,0.138334875,58.22169039,0.452058608
2016/5/8 9:07,2016/5/9 8:49,2016/5/8,2016/5/9,9:07,8:49,5.8897726,1.654083119,7.543855719,2.345735304,0.160577051,3.066143718,3.773109418,0.098679197,1.216496106,0.067119027,0.021426947,0.146896525,0.573548078,,,13.0094489,,,13.46484115,0.142771625,0.544009121,14.87286476,96.05084125,0.445545932,5.580401259,1.095402982,1.245559346,3.227131032,0.081232131,2.104650673,0.155079523,9.595237806,0.236311655,107.772884,0.664626528
2016/5/9 8:58,2016/5/10 8:30,2016/5/9,2016/5/10,8:58,8:30,5.04150267,1.357028253,6.398530923,2.133934914,0.120975835,2.040475616,2.546524807,0.057498558,1.72431468,0.01151528,0.011216841,0.01908515,0.359456888,,,7.813849036,,,7.811370023,0.027269143,0.18096795,13.1957863,45.11803695,0.176009924,1.212237366,0.647022398,0.602400164,1.115555859,0.076849404,0.468533461,0.076849404,4.720040788,0.064454338,27.08321723,0.161135846
2016/5/10 8:35,2016/5/11 8:31,2016/5/10,2016/5/11,8:35,8:31,5.801735401,2.000246506,7.801981906,1.516008682,0.376443766,9.420763229,10.74420723,0.1769532,4.236466694,0.129403595,0.067976917,0.358621128,0.514329601,,,11.59069788,,,11.94902229,0.13894212,0.53626783,25.10220962,92.67683139,0.407076035,9.523629149,1.277292468,1.133475187,1.923251446,0.07068985,1.76968384,0.143817282,6.657033838,0.282759401,94.85115369,0.572831546
2016/5/11 8:39,2016/5/12 8:29,2016/5/11,2016/5/12,8:39,8:29,6.051537843,2.367324711,8.418862553,0.979309627,0.270482857,19.240592,18.45264239,0.253728275,7.274362148,0.243838218,0.038189757,0.202357394,0.665803955,,,9.872012323,,,14.1067213,0.100360155,0.758820684,13.6538767,89.58979693,0.621743399,5.962861894,2.79294968,1.708570444,1.490715474,0.09056892,2.521242919,0.227646205,4.993529665,0.536070096,98.55367225,0.78574658
2016/5/12 8:39,2016/5/13 8:35,2016/5/12,2016/5/13,8:39,8:35,3.890785614,0.900621195,4.791406808,1.961115293,0.173312012,0.598263642,0.771331896,0.160191116,0.137489495,0.004266351,0.087230249,0.178118247,0.212069551,,,7.341994112,,,6.510778976,0.029250973,0.377825062,12.94355536,33.68737006,0.068252269,0.170630673,,0.32663586,0.979907581,0.026813392,0.156005187,0.019500648,4.451022991,,10.32803089,0.017063067
2016/5/13 8:52,2016/5/14 8:35,2016/5/13,2016/5/14,8:52,8:35,4.840328609,1.24355251,6.083881119,2.1758939,0.161366152,3.221419406,2.263471867,0.099304508,0.777375291,0.019358639,0.025055408,0.246727222,0.62480187,0.012299249,0.054116697,12.67068675,0.661699618,4.518744234,15.7848567,0.147590993,0.826509561,31.78126048,91.36128449,0.578064722,5.401830342,1.751413116,1.284041639,2.759951568,,1.812909363,0.147590993,10.5232378,0.359138083,88.25449409,0.915064156
2016/5/14 8:55,2016/5/15 9:18,2016/5/14,2016/5/15,8:55,9:18,2.972543991,1.387354146,4.359898136,,0.241173569,9.183178108,3.365663288,0.146974529,2.62386859,0.038483704,0.010042262,0.011758566,0.68906734,0.019140759,0.078955633,20.83232406,0.758452593,0.461770822,16.76969787,0.15551867,0.818267466,15.48726698,46.49051209,0.380422594,1.375742085,0.583793163,0.832623036,3.26110689,,0.586185758,0.086133417,11.60647801,0.124414936,34.19018155,0.284718797
