Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000908,Estuary Releases,chenshuangsheng,fengliang,normal,minor,always,,Distribution Issues,2017-06-29,ubuntu,16.04,Ｄ05,public,2017-06-29,apt-get upgrade failed,assigned,open,
0000902,Estuary Releases,huangjinhua,zhangyong,normal,minor,have not tried,,Applications Issues,2017-06-20,CentOS,,,public,2017-06-20,start-dfs.sh scripts miss in hadoop*.rpm (linaro repository),assigned,open,
0000891,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Distribution Issues,2017-06-05,CentOS/Fedora/Debian/OpenSuse/,,Ｄ05,public,2017-06-14,新用户登录文件系统后ｐｉｎｇ命令运行失败！！！,resolved,open,
0000885,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-05-27,Estuary需要默认支持以下功能，以便性能测试与优化,assigned,open,
0000884,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-05-26,Estuary CentOS需要默认支持所有shell,assigned,open,
0000883,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-06-08,Estuary需要默认支持所有shell,closed,duplicate,
0000876,Estuary Releases,zhangxinjia,yulijie,normal,minor,have not tried,,Applications Issues,2017-05-20,CentOS,,D05,public,2017-05-20,ethtool 添加relaxorder命令参数，提升82599性能的参数；,assigned,open,
0000875,Estuary Releases,mahongxin,huangjinhua,normal,minor,have not tried,,Applications Issues,2017-05-20,,,D03,public,2017-05-24,D03平台上测试mongodb的客户端安装不成功,assigned,open,
0000868,Estuary Releases,mahongxin,hensonwang,normal,minor,sometimes,,UEFI Issues,2017-05-11,,,D03 && D05,public,2017-06-08,D03 and D05 启动过程中出现以下报错信息,closed,not a bug,
0000866,Estuary Releases,guanhe,xinliang,normal,minor,always,,All Other Issues,2017-05-08,centos,7.3.1611,D05,public,2017-05-08,qemu 挂载文件系统失败,assigned,open,
0000843,Estuary Releases,tanliqing,linwenkai,normal,minor,sometimes,,Deployment Issues,2017-04-24,,,"D03,D05",public,2017-05-04,BMC load ios方式安装系统，安装完成重启后，又进入安装界面安装系统,closed,fixed,
0000840,Estuary Releases,linwenkai,huangjinhua,normal,minor,always,,Deployment Issues,2017-04-22,cenos 7.2,,D05,public,2017-04-25,build-package.sh设置的LIBRARY_PATH多了个冒号导致GCC4.9 make失败,closed,fixed,
