TimePoint,NO,NO2,NOx,SO2,CO,O3,PM10,PM2.5,BC,Visibility,WindD,WindS,Temperature,Humidity,Pressure
2013-01-01 00:00:00,91.05,27.87,119.42,72.01,5.69,,395.72,175.3,14.541,1.9,198.13,0.11,-0.62,55.79,1010.1
2013-01-01 01:00:00,76.8,25.08,102.36,66.61,4.7,,430.56,137.53,12.92,2.25,250.81,0.32,-0.38,49.27,1009.93
2013-01-01 02:00:00,18.21,23.75,42.16,66.02,2.81,,381.25,74.39,9.112,3.59,278.11,0.66,1.01,37.01,1010.06
2013-01-01 03:00:00,33.75,23.32,57.35,71.02,3.04,,394.26,81.86,9.009,3.3,158.68,0.08,0.88,38.59,1010.09
2013-01-01 04:00:00,44.51,22.6,67.46,54.81,3.4,,438.62,90.52,8.456,3.29,258.03,0.45,-0.26,43.72,1009.73
2013-01-01 05:00:00,24.3,23.44,47.96,48.6,3.12,,363.62,77.77,8.609,4.1,190.75,0.24,0.68,38.72,1009.87
2013-01-01 06:00:00,29.27,23.52,53.03,65.98,4.07,,373.79,90.65,8.844,4.05,33.52,0.29,0.4,41.77,1010.75
2013-01-01 07:00:00,12.68,23.76,36.62,71.74,3.41,,264.75,55.37,5.974,6.37,41.67,0.55,2.14,32.82,1011.73
2013-01-01 08:00:00,12.92,22.15,35.26,56.69,2.51,,256.28,51.7,4.753,6.72,31.47,0.64,2.35,30.94,1012.76
2013-01-01 09:00:00,16.62,19.97,36.77,62.88,1.91,2.83,206.58,44.12,3.894,7.98,41.38,1.02,3.08,28.82,1013.85
2013-01-01 10:00:00,12.8,18.43,31.44,40.82,2.02,6.43,193.7,43.13,4.814,8.02,41.49,1.19,3.53,26.42,1014.28
2013-01-01 11:00:00,10.16,15.68,25.98,25.28,1.39,10.42,188.76,29.79,3.306,9.72,46.94,1.27,4.11,23.82,1013.8
2013-01-01 12:00:00,5.81,11.48,17.45,19.96,1.15,15.01,130.07,16.21,1.876,12.91,62.57,1.16,4.66,21.21,1012.84
2013-01-01 13:00:00,4.56,9.88,14.57,16.79,1.11,16.62,111.32,16.32,1.912,13.88,89.65,1.17,4.81,21.93,1012.44
2013-01-01 14:00:00,3.43,8.56,12.05,13.9,1.1,18.15,102.27,18.29,2.219,13.56,96.81,1.32,4.39,23.1,1012.79
2013-01-01 15:00:00,2.68,8.99,11.68,13.69,1.19,18.23,103.0,25.61,3.024,11.94,103.61,1.45,3.75,24.71,1013.42
2013-01-01 16:00:00,2.36,13.7,16.11,19.16,1.47,13.91,127.36,50.03,4.948,7.42,111.54,1.25,2.44,31.07,1014.19
2013-01-01 17:00:00,4.49,21.4,26.0,23.55,1.77,4.63,154.94,63.0,8.467,5.94,104.11,0.75,1.42,33.64,1015.17
2013-01-01 18:00:00,7.05,24.13,31.29,28.08,1.83,1.66,167.43,61.26,8.336,5.99,91.17,0.98,0.92,34.45,1016.39
2013-01-01 19:00:00,2.07,16.92,19.06,19.39,1.64,6.39,126.04,51.16,6.69,6.74,87.77,1.25,-0.36,39.38,1017.49
2013-01-01 20:00:00,1.85,15.46,17.39,19.71,1.62,8.1,105.23,45.03,5.587,7.32,83.99,0.95,-0.95,39.83,1018.55
2013-01-01 21:00:00,1.45,12.99,14.54,18.3,1.54,10.55,90.66,42.24,7.519,7.56,86.82,0.81,-1.11,36.86,1019.72
2013-01-01 22:00:00,1.56,15.81,17.44,23.05,1.78,6.36,119.42,60.13,7.967,5.82,65.0,0.97,-1.94,40.8,1021.17
2013-01-01 23:00:00,1.49,14.08,15.64,17.53,1.67,6.24,95.89,49.69,6.936,6.65,62.49,1.34,-3.55,46.48,1022.11
