TimePoint,NO,NO2,NOx,SO2,O3,PM2.5,PM10,WindD,WindS,Temperature,Humidity,Pressure,Precipitation,PrecipitationM,Radiation
3/1/2016 0:00,1.42,81.23,82.65,27.17,8.55,68.78,92.42,187.2,1.4,0.25,33.6,1022.59 ,0,0,232.75
3/1/2016 1:00,5.73,87.29,93.02,26.53,4.21,79.74,103.86,179.75,0.98,0.17,36,1022.42 ,0,0,251.57
3/1/2016 2:00,12.93,87.58,100.5,25.61,3.85,82.02,107.94,204.53,0.82,0.21,37.37,1021.69 ,0,0,261.17
3/1/2016 3:00,41.94,96.6,138.54,34.62,3.73,91.08,117.58,292.48,1.12,0.01,38.22,1021.27 ,0,0,266.13
3/1/2016 4:00,95.34,105.94,201.28,35.61,4.06,86.54,122.9,225.17,1.19,-0.93,40.97,1021.09 ,0,0,290.73
3/1/2016 5:00,83.5,100.5,184,32.7,4.01,97.02,134.36,287.37,1.28,-1.59,43.75,1021.12 ,0,0,313.23
3/1/2016 6:00,70.67,95.45,166.11,26.37,3.95,89.76,125.66,191.22,1.22,-1.99,47.77,1021.22 ,0,0,344.22
3/1/2016 7:00,66.19,92.52,158.7,29.57,5.36,85.84,120.8,75.83,1.77,-1.39,49.18,1021.33 ,0,0,355.62
3/1/2016 8:00,50.88,84.48,135.36,37.6,10.24,86,118.94,146.9,1.96,0.39,44.57,1021.41 ,0,0,320.97
3/1/2016 9:00,38.86,78.69,117.55,42.2,17.86,80.21,109.18,74.73,1.74,2.58,38.12,1020.99 ,0,0,268.02
3/1/2016 10:00,38.94,83.62,122.57,42.58,22.54,79.83,109.25,237.33,1.24,4.22,32.62,1020.43 ,0,0,231.58
3/1/2016 11:00,35.35,87.38,122.72,40.53,28.04,84.19,115.43,207.95,1.21,5.79,29.67,1019.73 ,0,0,206.6
3/1/2016 12:00,36.32,97.26,133.58,39.13,29.34,90.8,122.82,183.87,1.97,7.62,26.93,1018.41 ,0,0,184.85
3/1/2016 13:00,26.45,96.98,123.43,42.25,35.25,100.25,136.68,184,2.31,9.14,24.93,1016.95 ,0,0,170.7
3/1/2016 14:00,15.98,84.9,100.89,37.46,42.49,101.78,141.5,184.72,2.45,10.45,22.18,1015.68 ,0,0,150.05
3/1/2016 15:00,8.24,74.05,82.29,33.81,50.13,96.03,135.62,192.7,2.58,11.09,21.07,1015.08 ,0,0,137
3/1/2016 16:00,6.33,80.76,87.1,34.48,44.4,95.47,133.72,200.1,2.26,10.95,21.38,1014.70 ,0,0,138.3
3/1/2016 17:00,2.15,72.2,74.36,35.11,49.2,101.94,142.94,215.55,2.41,9.87,23.32,1014.43 ,0,0,155.22
3/1/2016 18:00,1.04,79.46,80.5,37.64,44.3,115.01,157.82,215.08,1.98,8.72,25.92,1014.50 ,0,0,177.67
3/1/2016 19:00,1.08,98.86,99.94,42.7,30.67,128.81,175.03,207.13,1.27,7.36,29.08,1014.90 ,0,0,203.57
3/1/2016 20:00,1.83,127.39,129.23,40.12,15.01,145.92,195.85,192.22,1.07,5.74,33.27,1014.98 ,0,0,236.43
3/1/2016 21:00,4.35,134.48,138.83,28.9,5.32,160.4,207.16,180.08,0.88,3.42,41.08,1014.85 ,0,0,293.93
3/1/2016 22:00,18.09,135.23,153.31,23.91,3.96,164.47,207.68,172,0.69,1.79,47.33,1014.43 ,0,0,338.62
3/1/2016 23:00,28.41,123.74,152.15,16.69,3.86,167.87,212.9,223.4,0.26,0.91,53.07,1013.99 ,0,0,379.1
3/2/2016 0:00,33.22,121.04,154.25,16.53,3.77,169.42,226.93,167.75,0.4,0.76,55.5,1013.68 ,0,0,400.25
3/2/2016 1:00,57.81,119.62,177.43,16.6,3.7,173.47,219.7,194.55,0.54,0.43,58.42,1013.39 ,0,0,417.02
3/2/2016 2:00,143.51,137.11,280.61,21.26,3.9,158.6,202.94,152.53,0.75,0.67,56.88,1012.74 ,0,0,406.32
3/2/2016 3:00,142.32,148.31,290.63,35.78,4.39,156.48,202.68,162.28,1.12,0.81,54.98,1012.13 ,0,0,393.63
3/2/2016 4:00,122.35,144.58,266.93,41.13,4.51,169.05,221.93,185.05,1.42,1.7,49.38,1012.03 ,0,0,351.17
3/2/2016 5:00,110,127.6,237.61,26.88,3.92,177.91,227.91,179.98,0.82,0.62,54.75,1012.12 ,0,0,390.15
3/2/2016 6:00,102.61,117.54,220.14,21.53,3.75,163.3,206.11,154.05,0.78,0.17,57.68,1012.24 ,0,0,413.33
3/2/2016 7:00,133.77,120.85,254.62,27.8,4.22,159.8,208.81,268.38,0.62,0.3,60.12,1012.35 ,0,0,432.65
3/2/2016 8:00,145.57,145.91,291.48,54.27,6.56,154.12,212.18,276.28,0.91,4.53,43.47,1012.55 ,0,0,307.53
3/2/2016 9:00,131.53,161.72,293.24,60.01,9.84,161.4,219.06,255.9,1.13,7.52,34.63,1012.70 ,0,0,245.3
3/2/2016 10:00,110.28,177.27,287.55,59.63,15.45,174.07,231.43,271.83,1.05,10.6,29,1012.40 ,0,0,200.9
3/2/2016 11:00,131.69,213.77,345.46,54.56,15.57,187.39,247.05,154.02,1.03,13.9,24.6,1011.88 ,0,0,168.22
3/2/2016 12:00,88.71,201.19,289.9,47.15,21.8,190.75,251.97,111.32,1.1,16.05,21.45,1011.09 ,0,0,145.27
3/2/2016 13:00,38.94,145.95,184.89,33.64,35.79,167.51,219.53,136.22,1.71,17.89,17.75,1009.92 ,0,0,117
3/2/2016 14:00,14.3,100.96,115.26,30.61,52.73,116.7,158.12,159.68,2.22,19.12,15.68,1009.01 ,0,0,99.6
3/2/2016 15:00,6.65,80.2,86.85,27.59,66.19,98.68,137.37,174.6,2.27,19.49,15.78,1008.57 ,0,0,100.65
3/2/2016 16:00,2.94,56.85,59.79,22.84,72.73,86.4,119.53,179.43,2.19,19.19,16.1,1008.46 ,0,0,103.75
3/2/2016 17:00,2.48,77.64,80.11,23.99,55.7,84.18,117.31,182.43,1.55,17.34,19.15,1008.57 ,0,0,125.42
3/2/2016 18:00,1.39,122.7,124.09,28.78,25.49,92.91,128.39,179.1,1.47,14.07,25.63,1008.40 ,0,0,169.42
3/2/2016 19:00,4.06,148.31,152.37,38.91,9.31,105.61,142.11,170.33,1.13,10.97,33.4,1008.87 ,0,0,230.3
3/2/2016 20:00,33.64,164.86,198.5,47.52,3.8,126.71,167.13,186.47,1.3,10.06,36.08,1008.91 ,0,0,250.62
3/2/2016 21:00,84.91,164.77,249.67,43.99,3.73,129.34,172.73,188.77,1.15,7.84,42.87,1009.15 ,0,0,301.18
3/2/2016 22:00,52.93,146.23,199.16,46.93,3.54,130.56,174,184.2,1.34,7.19,44.82,1009.07 ,0,0,318
3/2/2016 23:00,31.13,129.08,160.21,51.98,3.88,129.35,172.9,186.3,1.67,10.62,32.7,1008.23 ,0,0,229.35
3/3/2016 0:00,33.11,119.82,152.92,40.63,3.8,120.81,161.92,183.2,1.18,8.59,38.6,1007.80 ,0,0,270.85
3/3/2016 1:00,37.59,104.44,142.03,25.4,3.5,120.69,160.63,242.63,0.49,5.92,47.98,1007.45 ,0,0,342.93
3/3/2016 2:00,89.95,116.14,206.09,22.21,3.76,116.08,154.99,227.67,0.32,4.64,54.55,1006.80 ,0,0,392.87
3/3/2016 3:00,140.27,133.03,273.3,23.15,3.98,143.05,188.81,226.18,0.42,4.3,57.75,1006.38 ,0,0,413.65
3/3/2016 4:00,164.78,139.54,304.33,22.66,4.03,167.34,215.71,231.35,0.43,3.84,60.22,1006.33 ,0,0,428.68
3/3/2016 5:00,160.89,145.63,306.51,26.46,3.95,185.23,236.15,272.82,0.77,3.44,62.13,1006.49 ,0,0,445.2
3/3/2016 6:00,176.35,150.18,326.53,24.77,4.04,195.13,250.28,192.48,0.3,3.54,61.08,1006.89 ,0,0,436.33
3/3/2016 7:00,210.71,147.93,358.64,24.27,4.03,202.58,270.72,270.82,0.46,3.63,64.28,1007.42 ,0,0,458.28
3/3/2016 8:00,159.55,143.62,303.16,33.99,4.12,200.84,280.46,130,1.43,5.39,62.9,1007.86 ,0,0,449.58
3/3/2016 9:00,75.15,131.35,206.5,48.37,7.96,209.26,284.24,21.12,1.99,7.56,58.65,1007.98 ,0,0,424.07
3/3/2016 10:00,42.7,119.82,162.52,67.02,17.79,225.07,303.23,54.73,1.66,9.66,52.65,1007.67 ,0,0,381.5
3/3/2016 11:00,28.58,121.66,150.24,69.18,25.36,240.19,318.33,68.32,1.47,11.27,48.05,1007.12 ,0,0,342.4
3/3/2016 12:00,22.05,130.67,152.72,68.96,30.79,243.47,321.32,94.68,1.54,11.68,46.98,1006.57 ,0,0,332.5
3/3/2016 13:00,21.57,148.72,170.29,75.7,30.94,259.47,344.66,84.07,1.07,12.92,43.52,1005.87 ,0,0,306.67
3/3/2016 14:00,16.93,141.48,158.4,72.5,33.93,271.37,354.99,133.33,1.28,13.57,41.85,1005.62 ,0,0,290.4
3/3/2016 15:00,8.97,117.86,126.82,67.33,49.27,258.77,341.68,144.73,1.6,14.05,40.73,1005.68 ,0,0,281.33
3/3/2016 16:00,6.31,124.08,130.39,58.66,46.19,254.57,332.79,147.4,1.21,14.04,40.15,1005.96 ,0,0,274.98
3/3/2016 17:00,4.02,136.25,140.27,44.65,34.96,264.51,344.17,166.65,0.88,13.17,43.7,1006.51 ,0,0,303.9
3/3/2016 18:00,4.92,136.93,141.84,24.2,13.99,261.69,340.35,273.32,0.12,9.96,54.57,1007.34 ,0,0,388.22
3/3/2016 19:00,11.98,131.29,143.28,16.16,4.19,257.59,335.06,176.97,0.14,7.31,66.07,1008.23 ,0,0,478.17
3/3/2016 20:00,25.49,127.08,152.58,14.06,3.25,261.57,335.55,151.4,0.48,6.13,72.02,1008.67 ,0,0,522.05
3/3/2016 21:00,38.88,126.18,165.05,12.02,3.39,261.43,331.22,201.95,0.5,5.41,75.1,1009.18 ,0,0,545.15
3/3/2016 22:00,71.35,139.01,210.37,11.61,3.63,267.52,334.76,200.95,0.58,5.06,77.12,1009.68 ,0,0,558.82
3/3/2016 23:00,113.03,152.56,265.58,13.46,3.79,271.44,341.93,213.1,0.6,4.85,78.62,1010.07 ,0,0,566.35
3/4/2016 0:00,143.69,164.03,307.72,14.71,3.63,278.88,358.46,165.8,0.36,4.73,78.63,1010.52 ,0,0,568.27
3/4/2016 1:00,33.35,147.24,180.59,26.72,3.09,274.77,352.76,216.5,0.63,5.21,76.77,1010.98 ,0,0,549.5
3/4/2016 2:00,7.27,133.39,140.66,41.01,4.56,252.43,323.01,178.17,1.08,6.25,69.48,1011.34 ,0,0,495.93
3/4/2016 3:00,15.39,132.78,148.17,36.79,2.96,242.05,313.61,210.22,1.03,5.36,71.85,1011.18 ,0,0,516.03
3/4/2016 4:00,14.92,122.28,137.19,33.42,2.85,223.88,292.17,215.17,0.93,4.12,76.75,1011.32 ,0,0,550.08
3/4/2016 5:00,18.51,110.88,129.38,24.18,2.84,213.26,277.93,202.55,0.26,3.46,80.05,1011.56 ,0,0,577.73
3/4/2016 6:00,22.28,115.74,138.02,39.28,3.04,213.84,280.58,165.92,0.92,4.39,75.63,1011.97 ,0,0,542.27
3/4/2016 7:00,49.26,116.6,165.87,43.18,3.93,211.29,286.63,186.15,0.99,4.7,73.43,1012.55 ,0,0,525.25
3/4/2016 8:00,49.34,122.66,172,60.2,5.62,227.18,305.48,137.62,1.38,6.46,65.43,1012.77 ,0,0,473.2
3/4/2016 9:00,46.78,129.53,176.31,70.02,7.55,245.01,328.34,211.63,0.86,7.38,62.28,1013.01 ,0,0,448.63
3/4/2016 10:00,49.67,137.71,187.38,67.76,6.93,247.07,332.06,213.93,0.82,8.04,59.67,1013.04 ,0,0,429.73
3/4/2016 11:00,60.37,145.35,205.71,64.55,5.66,237.07,324.13,217.43,1.18,8.28,59.63,1012.78 ,0,0,428.6
3/4/2016 12:00,35.83,145.07,180.91,68.66,10.21,235.37,323.04,88.2,1.18,8.65,57.77,1012.16 ,0,0,410.18
3/4/2016 13:00,7.08,112.06,119.14,69.4,27.59,217.12,300.31,92.43,1.45,8.81,52.47,1011.66 ,0,0,371.77
3/4/2016 14:00,4.4,113.3,117.7,64.22,25.68,202.51,276.26,76.88,1.4,8.74,53.92,1011.59 ,0,0,379.67
3/4/2016 15:00,8.03,136.98,145.01,63.33,12.9,201.12,277.44,102.12,1.42,8.72,52.58,1011.58 ,0,0,370.37
3/4/2016 16:00,13.88,138.63,152.5,63.95,13.39,206.75,284.21,54.83,1.36,9.13,51.45,1011.83 ,0,0,361.82
3/4/2016 17:00,31.48,160.92,192.4,57.17,4.97,210.43,290.12,25.28,1.12,8.79,52.77,1012.62 ,0,0,372.15
3/4/2016 18:00,62.76,177.4,240.16,51.13,3.72,220.92,303.8,157.35,1.27,8.42,56.02,1012.78 ,0,0,398.87
3/4/2016 19:00,76.13,184.16,260.3,55.01,3.92,240.57,334.46,138.38,1.33,8.48,57.85,1013.56 ,0,0,415.7
3/4/2016 20:00,36.68,150.78,187.46,50.89,3.13,243.92,340.96,28.97,1.89,8.97,57.4,1013.99 ,0,0,412.13
