TimePoint,NO,NO2,NOx,SO2,O3,PM2.5,PM10,WindD,WindS,Temperature,Humidity,Pressure,Precipitation,PrecipitationM,Radiation,站点
1/1/2016 0:00,-,106.6625,250.0430556,19,4.601388889,151.07,195.22,276.15,1.18,,68.5,1022.883333,,,497.5833333,故宫博物院
1/1/2016 1:00,156.5069638,j,267.3885794,26.66,5.727019499,166.77,213.12,296.0666667,1.341666667,,61.5,1022.461667,,,443.8,故宫博物院
1/1/2016 2:00,123.4603616,103.511822, ,27.9,4.703755216,155.9,198.34,343.8166667,1.245,,58.75,1022.095,,,420.75,故宫博物院
1/1/2016 3:00,99.73743017,99.95251397,199.6899441,24.93,3.122905028,126.89,163.56,193.65,1.315,,57.98333333,1021.391667,,,414.5166667,故宫博物院
1/1/2016 4:00,109.7802503,98.85535466,208.635605,20.62,3.059805285,91.46,123.21,49.65,0.943333333,,60.03333333,1020.568333,,,430,故宫博物院
1/1/2016 5:00,108.1615599,98.62395543,206.7855153,19.29,2.988857939,78.36,107.97,169.4666667,1.17,,62.11666667,1020.003333,,,449.2666667,故宫博物院
1/1/2016 6:00,106.1854951,94.35285914,200.5383543,19.96,3.276150628,84.08,113.8,240.4333333,1.008333333,,61.38333333,1019.915,,,446.5666667,故宫博物院
1/1/2016 7:00,98.81337047,86.3356546,185.1490251,14.83,3.35097493,84.02,115.49,331.1833333,0.838333333,,65.68333333,1019.883333,,,479.9333333,故宫博物院
1/1/2016 8:00,75.10445682,80.39275766,155.4972145,16.44,3.800835655,81.52,120.21,150.0166667,1.223333333,,63.98333333,1020.081667,,,461.85,故宫博物院
1/1/2016 9:00,50.92618384,77.89972145,128.8259053,23.69,5.954038997,71.65,101.65,35.08333333,1.276666667,,52.7,1020.101667,,,378.5833333,故宫博物院
1/1/2016 10:00,61.37935844,82.74337517,144.1227336,28.58,7.912133891,80.85,111.05,208.9666667,1.298333333,0.911666667,48,1019.618333,,,345.8833333,故宫博物院
1/1/2016 11:00,59.48055556,86.90555556,146.3861111,37.87,10.65138889,86.34,119.26,254.6833333,1.121666667,2.2,43.15,1018.6,,,310.3166667,故宫博物院
1/1/2016 12:00,60.6375,97.15,157.7875,43.32,11.98333333,97.9,132.75,243.8666667,0.861666667,3.785,38.93333333,1016.965,,,277.9166667,故宫博物院
1/1/2016 13:00,58.02638889,114.1208333,172.1472222,-,12.29722222,134.96,176.29,261.2333333,0.971666667,4.681666667,39.35,1015.723333,,,277.4833333,故宫博物院
1/1/2016 14:00,66.775,130.1236111,196.8986111,41.12,9.126388889,158.66,207.8,233.9166667,1.033333333,6.085,36.21666667,1015.233333,,,254.2833333,故宫博物院
1/1/2016 15:00,68.04305556,136.1722222,204.2152778,38.52,6.466666667,160.46,214.49,226.6,0.608333333,6.598333333,35.53333333,1015.043333,,,247.5333333,故宫博物院
1/1/2016 16:00,76.29624478,138.9596662,215.255911,35.62,4.026425591,170.59,229.53,191.5833333,1.198333333,4.83,39.96666667,1015.275,,,285.0666667,故宫博物院
1/1/2016 17:00,88.6875,140.5152778,229.2027778,34.23,4.002777778,181.85,247.24,178.5,1.246666667,2.4,47.13333333,1015.83,,,341.35,故宫博物院
1/1/2016 18:00,103.4111111,139.6444444,243.0555556,27.2,4.165277778,199.84,263.89,173.2,1.236666667,0.391666667,55.73333333,1015.91,,,405.9666667,故宫博物院
1/1/2016 19:00,128.0194444,143.0222222,271.0416667,29.89,4.747222222,203.45,266.77,175.05,1.33,,62.95,1016.11,,,455.3833333,故宫博物院
1/1/2016 20:00,157.9305556,143.9513889,301.8819444,26.84,4.877777778,215.63,281.69,192.45,0.788333333,,64.66666667,1016.38,,,465.6833333,故宫博物院
1/1/2016 21:00,181.6717663,141.310153,322.9819193,19.72,4.563282337,226.24,287.63,176.2,0.171666667,,68.88333333,1016.356667,,,496.5166667,故宫博物院
1/1/2016 22:00,176.5807799,120.2200557,296.8008357,12.39,4.044568245,224.89,281.06,261.05,0.135,,74.01666667,1016.226667,,,538.2666667,故宫博物院
1/1/2016 23:00,198.9611111,139.9472222,338.9083333,20.93,4.994444444,224.51,279.97,262.8166667,1.175,,77.18333333,1016.156667,,,560.45,故宫博物院
1/2/2016 0:00,178.1930556,142.1388889,320.3319444,27.34,5.375,266.72,333.91,221.95,1.016666667,,70.58333333,1015.836667,,,509.5666667,故宫博物院
1/2/2016 1:00,156.0961003,123.6142061,279.7103064,19.27,4.750696379,267.67,325.58,308.3666667,0.611666667,,73.61666667,1015.67,,,531.5666667,故宫博物院
1/2/2016 2:00,99.52222222,107.6555556,207.1777778,21.67,3.380555556,243.52,295.21,173.6,1.061666667,,73.75,1015.486667,,,532.6833333,故宫博物院
1/2/2016 3:00,58.38472222,90.38055556,148.7652778,17.15,3.041666667,182.58,220.66,240.7333333,0.726666667,,68.88333333,1015.078333,,,499.3833333,故宫博物院
1/2/2016 4:00,58.68428373,84.38247566,143.0667594,11.92,2.977746871,159.61,189.97,153.4333333,0.145,,74.65,1014.813333,,,544.0333333,故宫博物院
1/2/2016 5:00,76.2,83.45138889,159.6513889,10.43,3.165277778,157.3,187.67,242.05,0.185,,78.15,1014.603333,,,572.95,故宫博物院
1/2/2016 6:00,96.02086231,82.09179416,178.1126565,10.44,3.218358832,163.25,195.22,254.7833333,0.418333333,,80,1014.511667,,,586.2833333,故宫博物院
1/2/2016 7:00,110.6773296,85.03337969,195.7107093,10.89,3.158553547,163.49,194.82,185.0833333,0.146666667,,80.21666667,1014.698333,,,585.4833333,故宫博物院
1/2/2016 8:00,187.175,111.6805556,298.8555556,16.35,3.913888889,162.4,200.49,256.1666667,0.718333333,,79.06666667,1015.118333,,,576.7333333,故宫博物院
1/2/2016 9:00,149.5535466,129.2197497,278.7732962,39.33,4.211404729,176.12,225.68,319.9,0.851666667,0.2,67.33333333,1015.68,,,490.1666667,故宫博物院
1/2/2016 10:00,109.1057024,127.27121,236.3769124,49.91,5.799721836,181.42,226.85,288.1666667,0.76,3.125,50.38333333,1015.808333,,,365,故宫博物院
1/2/2016 11:00,115.75,141.95,257.7,50.67,6.715277778,172.74,217.04,150.8833333,0.65,5.251666667,43.13333333,1015.208333,,,310.5833333,故宫博物院
1/2/2016 12:00,112.2472222,153.4319444,265.6791667,50.79,7.463888889,183.97,230.2,231.5833333,0.568333333,6.461666667,39.53333333,1014.103333,,,280.7166667,故宫博物院
1/2/2016 13:00,91.31388889,152.3069444,243.6208333,47.97,8.326388889,186.97,234.06,254.5666667,0.63,7.103333333,37.5,1013.125,,,266.3666667,故宫博物院
1/2/2016 14:00,80.35555556,146.5097222,226.8652778,43.96,8.038888889,174.78,222.12,281.95,0.948333333,8.273333333,34.65,1012.663333,,,239.4833333,故宫博物院
1/2/2016 15:00,80.09722222,147.5166667,227.6138889,40.18,5.605555556,193.96,246.11,85.96666667,0.81,8.238333333,35.81666667,1012.886667,,,246.7,故宫博物院
1/2/2016 16:00,82.91933241,132.3268428,215.2461752,25.56,3.792767733,191.46,246.03,164.6833333,0.336666667,5.76,43.33333333,1013.173333,,,306.5666667,故宫博物院
1/2/2016 17:00,90.62083333,119.7305556,210.3513889,15.57,3.288888889,184.89,249.33,177.7666667,0.413333333,1.996666667,55.58333333,1013.601667,,,404.4,故宫博物院
1/2/2016 18:00,101.2263889,119.2097222,220.4361111,13.42,3.647222222,177.05,246.07,134.3,0.378333333,0.248333333,64.45,1014.213333,,,467.1333333,故宫博物院
